Final Max Accuracy: 92.92230261088392% in 0:1:28
Test Config: lr: 0.01, linear: False, loss_fn: ce, optim: sgd
Epoch: 6650, Train loss: 4.992527537543303, Test Loss: 5.0575425727035626, Accuracy: 92.54482541679774
Epoch: 6700, Train loss: 4.9908553985643485, Test Loss: 5.056338403276197, Accuracy: 92.51336898395722
Epoch: 6750, Train loss: 4.989225456944816, Test Loss: 5.055178481520029, Accuracy: 92.54482541679774
Epoch: 6800, Train loss: 4.987635871971489, Test Loss: 5.054059599597881, Accuracy: 92.54482541679774
Epoch: 6850, Train loss: 4.986084707073597, Test Loss: 5.052982512429675, Accuracy: 92.57628184963825
Epoch: 6900, Train loss: 4.984570522544117, Test Loss: 5.051946515329111, Accuracy: 92.57628184963825
Epoch: 6950, Train loss: 4.983091721457004, Test Loss: 5.050947668682429, Accuracy: 92.60773828247876
Epoch: 7000, Train loss: 4.981647066928345, Test Loss: 5.049983202119378, Accuracy: 92.57628184963825
Epoch: 7050, Train loss: 4.980235455976495, Test Loss: 5.049052061819909, Accuracy: 92.54482541679774
Epoch: 7100, Train loss: 4.978855734177438, Test Loss: 5.048153055653528, Accuracy: 92.54482541679774
Epoch: 7150, Train loss: 4.9775068998168575, Test Loss: 5.04728617452399, Accuracy: 92.54482541679774
Epoch: 7200, Train loss: 4.976188072142363, Test Loss: 5.046450220760157, Accuracy: 92.51336898395722
Epoch: 7250, Train loss: 4.9748983885055775, Test Loss: 5.0456413665655795, Accuracy: 92.54482541679774
Epoch: 7300, Train loss: 4.973636953173498, Test Loss: 5.044857965669846, Accuracy: 92.51336898395722
Epoch: 7350, Train loss: 4.972403070951072, Test Loss: 5.0440988754959255, Accuracy: 92.54482541679774
Epoch: 7400, Train loss: 4.971196016884824, Test Loss: 5.043367116284711, Accuracy: 92.51336898395722
Epoch: 7450, Train loss: 4.970015288712514, Test Loss: 5.042653675180642, Accuracy: 92.51336898395722
Epoch: 7500, Train loss: 4.968859733256719, Test Loss: 5.041964336001823, Accuracy: 92.51336898395722
Epoch: 7550, Train loss: 4.9677288651345295, Test Loss: 5.04129902172695, Accuracy: 92.51336898395722
Epoch: 7600, Train loss: 4.9666218929296955, Test Loss: 5.040653380827999, Accuracy: 92.48191255111671
Epoch: 7650, Train loss: 4.965538119074416, Test Loss: 5.040024608947129, Accuracy: 92.48191255111671
Epoch: 7700, Train loss: 4.964476902843281, Test Loss: 5.039416230628046, Accuracy: 92.4504561182762
Epoch: 7750, Train loss: 4.963437486607801, Test Loss: 5.038825596706906, Accuracy: 92.4504561182762
Epoch: 7800, Train loss: 4.962419238380125, Test Loss: 5.038251926202557, Accuracy: 92.4504561182762
Epoch: 7850, Train loss: 4.961421488449614, Test Loss: 5.037694315813809, Accuracy: 92.41899968543568
Epoch: 7900, Train loss: 4.96044367062185, Test Loss: 5.037151073970656, Accuracy: 92.41899968543568
Epoch: 7950, Train loss: 4.959485182997788, Test Loss: 5.0366217991372, Accuracy: 92.41899968543568
Epoch: 8000, Train loss: 4.958545555966911, Test Loss: 5.036104775441718, Accuracy: 92.41899968543568
Epoch: 8050, Train loss: 4.957623613796881, Test Loss: 5.035607222113121, Accuracy: 92.41899968543568
Epoch: 8100, Train loss: 4.9567190876432425, Test Loss: 5.03512117339663, Accuracy: 92.41899968543568
Epoch: 8150, Train loss: 4.955831501746872, Test Loss: 5.034646941051444, Accuracy: 92.41899968543568
Epoch: 8200, Train loss: 4.954960183142092, Test Loss: 5.034183079996044, Accuracy: 92.41899968543568
Epoch: 8250, Train loss: 4.954104706262061, Test Loss: 5.033728464781025, Accuracy: 92.41899968543568
Epoch: 8300, Train loss: 4.953264480353932, Test Loss: 5.033284844848618, Accuracy: 92.41899968543568
Epoch: 8350, Train loss: 4.9524390888298235, Test Loss: 5.032851159612259, Accuracy: 92.41899968543568
Epoch: 8400, Train loss: 4.9516279487584445, Test Loss: 5.032425943641035, Accuracy: 92.41899968543568
Epoch: 8450, Train loss: 4.950830556694807, Test Loss: 5.032012824284387, Accuracy: 92.4504561182762
Epoch: 8500, Train loss: 4.950046333349623, Test Loss: 5.031609244432522, Accuracy: 92.41899968543568
Epoch: 8550, Train loss: 4.9492749250500365, Test Loss: 5.031213556526702, Accuracy: 92.4504561182762
Epoch: 8600, Train loss: 4.948516035642242, Test Loss: 5.030825661973635, Accuracy: 92.48191255111671
Epoch: 8650, Train loss: 4.947769199398351, Test Loss: 5.030443804544103, Accuracy: 92.48191255111671
Epoch: 8700, Train loss: 4.947033874980415, Test Loss: 5.0300697675192945, Accuracy: 92.54482541679774
Epoch: 8750, Train loss: 4.946309431669086, Test Loss: 5.0297043597187745, Accuracy: 92.57628184963825
Epoch: 8800, Train loss: 4.945595890286395, Test Loss: 5.029348178110519, Accuracy: 92.57628184963825
Epoch: 8850, Train loss: 4.944893113364147, Test Loss: 5.028993070003432, Accuracy: 92.57628184963825
Epoch: 8900, Train loss: 4.944200667708503, Test Loss: 5.028643670897542, Accuracy: 92.57628184963825
Epoch: 8950, Train loss: 4.943518186242689, Test Loss: 5.028302407080166, Accuracy: 92.57628184963825
Epoch: 9000, Train loss: 4.942845343784381, Test Loss: 5.027964531745878, Accuracy: 92.60773828247876
Epoch: 9050, Train loss: 4.942181773460384, Test Loss: 5.027633785646199, Accuracy: 92.63919471531928
Epoch: 9100, Train loss: 4.9415272014720335, Test Loss: 5.027307799687452, Accuracy: 92.63919471531928
